<Phenotype>,trait1,trait2,trait3
Sample1,17.50281055,15.1287151,19.89228975
Sample2,22.5974054,16.76877748,20.95449966
Sample3,19.01632405,25.61639021,15.02410658
Sample4,14.74694872,15.53191372,17.09569873
Sample5,14.61644612,10.37521829,13.54876684
Sample6,21.45467919,14.02318638,13.49755397
Sample7,28.18315995,20.62841453,20.72675853
Sample8,22.82936678,19.52150092,25.15923042
Sample9,11.71981901,16.38959687,23.14028871
Sample10,9.238337007,4.587411965,12.38874243
Sample11,17.54642379,21.99852262,16.93988098
Sample12,20.6126448,14.36358511,19.87943922
Sample13,12.80867167,12.09907767,7.118220679
Sample14,14.44440403,20.16643189,23.91505799
Sample15,12.19718839,16.90917124,12.2023403
Sample16,27.60964232,22.88974473,20.36273958
Sample17,24.66370193,26.23935992,20.33241396
Sample18,22.10865898,19.94917306,20.80070114
Sample19,18.07731942,13.88390993,17.52897242
Sample20,19.46259329,12.5263696,14.61849722
Sample21,18.21010745,12.10920947,13.06988556
Sample22,24.00866137,16.59729972,19.005702
Sample23,21.20105606,21.35923074,11.45848718
Sample24,23.72629226,27.00756275,22.63931913
Sample25,14.15149724,6.289454347,8.936954421
Sample26,28.74330421,26.36046606,21.74887951
Sample27,26.97177293,23.85517415,23.87606034
Sample28,19.17507867,18.39500384,13.25782017
Sample29,9.535943034,9.6250446,3.718517427
Sample30,16.27744656,14.02859701,10.94181806
Sample31,17.73333887,19.91344589,19.94922852
Sample32,23.79003784,19.67368718,17.32923668
Sample33,20.3850456,16.4477892,12.19975546
Sample34,18.10707637,24.63292572,19.86597649
Sample35,18.19827278,22.27071889,13.69551237
Sample36,25.35928795,22.4412201,23.50416676
Sample37,21.11652675,11.22978451,16.93520626
Sample38,15.25408857,18.09309731,11.4863484
Sample39,17.44892025,16.61324817,12.59706897
Sample40,15.37989328,16.58493843,15.36309511
Sample41,7.428011535,12.79320309,10.16959577
Sample42,20.63810157,15.26563917,17.70860291
Sample43,17.32733231,15.98659394,21.14019051
Sample44,6.766359756,16.53530355,17.15192689
Sample45,12.17477654,18.38411669,15.28881022
Sample46,16.04448805,18.85272096,18.65620533
Sample47,25.53800005,25.22702043,22.96872712
Sample48,14.55647466,15.9103232,13.91764881
Sample49,13.96616255,16.77700405,15.58091107
Sample50,15.24554686,19.57977942,17.34849094
Sample51,16.15534009,16.18910872,25.50855849
Sample52,15.31549843,13.09639501,12.8064309
Sample53,16.55295536,18.0314524,14.82338947
